analise,status,datasets,campos,periodo,cobertura,escala,transformacao,limitacao,confianca,proximo_passo
"A.1 Educação infantil × população de 0 a 3 e de 4 a 5 anos","DERIVÁVEL","Banco SESI public.populacao_idade; public.censo; public.matriculas_faixa_etaria","id_municipio; ano; idade; pop_estimada; mat_infantil_creche; mat_infantil_pre; faixa_etaria; matriculas","2014-2025","497 municípios do RS em todos os anos","município e região FIERGS","Somar idades 0-3 e 4-5; agregar matrícula escolar localizada; juntar por município-ano; recomputar razões regionais","Denominador é residente e numerador é escola localizada; não mede atendimento dos residentes","alta","Materializar duas séries com numerador e denominador explícitos"
"A.2 Ensino fundamental × população de 6 a 10 e de 11 a 14 anos","DERIVÁVEL","Banco SESI public.populacao_idade; public.censo; public.matriculas_faixa_etaria","id_municipio; ano; idade; pop_estimada; mat_fundamental_anos_iniciais; mat_fundamental_anos_finais; faixa_etaria; matriculas","2014-2025","497 municípios do RS em todos os anos","município e região FIERGS","Recortar idades; agregar matrícula localizada; juntar e recomputar região","Etapa e faixa etária não são conceitos intercambiáveis","alta","Materializar painel município-ano-etapa-faixa"
"A.3 Ensino médio × população de 15 a 17 anos","DERIVÁVEL","Banco SESI public.populacao_idade; public.censo; public.matriculas_faixa_etaria","id_municipio; ano; idade; pop_estimada; mat_medio; mat_basico_15_17; faixa_etaria; matriculas","2014-2025","497 municípios do RS em todos os anos","município e região FIERGS","Somar população 15-17 e contrastar matrículas por etapa e por idade","Matrícula localizada pode incluir residentes de outro município","alta","Materializar numeradores alternativos e rotular a lente"
"A.4 Nascimentos e formação das futuras coortes","DERIVÁVEL","Vocações pacote_vocacoes/series_temporais (nascimentos); Banco SESI public.populacao_idade","id_municipio; ano; nascimentos; idade; pop_estimada","séries observadas históricas; população 2014-2025","municípios cobertos pelo pacote e 497 no Banco SESI","Alinhar ano de nascimento à idade esperada; agregar por região sem tratar como projeção","Óbito e migração alteram o tamanho efetivo da coorte; não há projeção municipal canônica","média-alta","Gerar coortes observadas com aviso metodológico"
"A.5 Migração de crianças e jovens","PARCIAL","Vocações entidades_municipais e pacote municipal de cenários","id_municipio; ano_censo; faixa_etaria; saldo/variação migratória","2010 e 2022","23 municípios do Vale do Rio Pardo no pacote auditado","município e região piloto","Comparar dois censos e recortar faixas etárias","Sem série anual e sem município de origem/destino; composição não é fluxo observado","alta","Usar apenas como contraste intercensitário e pesquisar OD depois"
"A.6 Diferenças entre população residente e matrículas localizadas","DERIVÁVEL","Banco SESI public.populacao_idade; public.censo; public.censo_escolas","id_municipio; ano; idade; mat_*; cod_escola; dependencia","2014-2025","497 municípios do RS","município e região FIERGS","Construir população da faixa e matrícula da etapa/idade; calcular diferença e razão","Diferença não identifica mobilidade nem fora da escola individualmente","alta","Materializar contraste com rótulos residente/localizada"
"B.1 Aprovação","PRONTA","Banco SESI public.rendimento_escolar; PNE inep_indicadores_eb","id_municipio; ano; dependencia; localizacao; etapa_ensino; taxa_aprovacao","2018-2025 no Banco SESI","497 municípios do RS nos anos completos","município; região; RS; rede; etapa","Agregação regional ponderada por matrículas, já prevista no gerador regional","Taxa não deve ser somada nem promediada sem peso","alta","Consumir com numerador/peso documentado"
"B.2 Reprovação","PRONTA","Banco SESI public.rendimento_escolar; PNE inep_indicadores_eb","id_municipio; ano; dependencia; localizacao; etapa_ensino; taxa_reprovacao","2018-2025","497 municípios do RS nos anos completos","município; região; RS; rede; etapa","Agregação ponderada","Mesma cautela de ponderação das taxas","alta","Consumir no piloto"
"B.3 Abandono","PRONTA","Banco SESI public.rendimento_escolar; PNE inep_indicadores_eb","id_municipio; ano; dependencia; localizacao; etapa_ensino; taxa_abandono","2018-2025","497 municípios do RS nos anos completos","município; região; RS; rede; etapa","Agregação ponderada","Supressões podem existir em combinações pequenas","alta","Consumir no piloto"
"B.4 Distorção idade-série","PRONTA","Banco SESI public.distorcao_idade_serie; PNE inep_indicadores_eb","id_municipio; ano; dependencia; categoria; valor","2019-2025","497 municípios do RS nos anos completos","município; região; RS; rede; etapa","Mapear categoria para etapa e ponderar regionalmente","Mudanças de categoria e indisponibilidades precisam ser preservadas","alta","Consumir com contrato de categorias"
"B.5 Transição entre etapas","PARCIAL","PNE inep_indicadores_eb","municipality_id; year; measure/indicator; value; status","2021-2022 para medidas de transição","cobertura municipal ampla, série descontinuada após 2022","município; região; RS","Filtrar medidas de transição e agregar com regra própria","Somente uma janela de transição; não sustenta histórico anual atual","alta","Reter como contexto histórico até nova série compatível"
"B.6 Conclusão","PARCIAL","Banco SESI public.censo_populacao_ensino_fundamental_concluido_*; public.censo_populacao_ensino_medio_concluido_*","ano; id_municipio; populacao_*_concluido","2010 e 2022","497 municípios do RS nos censos","residentes por município e região","Calcular público sem conclusão por diferença em relação ao total","É conclusão declarada da população residente, não conclusão/coorte escolar anual","alta","Usar só para EJA e estoque educacional; buscar conclusão escolar para fluxo"
"B.7 Idade adequada","DERIVÁVEL","Banco SESI public.populacao_idade; public.matriculas_faixa_etaria; public.distorcao_idade_serie","idade; faixa_etaria; etapa_ensino; matriculas; categoria; valor","2014-2025; distorção 2019-2025","497 municípios do RS","município; região; rede; etapa","Definir regra explícita de adequação e combinar matrícula por idade com TDI","Faixa agregada não reconstrói idade-série individual","média-alta","Materializar indicador agregado sem afirmar trajetória individual"
