leitura,dados educacionais,dados territoriais,periodo,escala regional,escala municipal,status,calculo necessario,lacuna,decisao sugerida,justificativa objetiva
"Educação infantil e mudança demográfica","matrículas de creche e pré-escola por município/rede; escolas; matrícula por idade","população residente por idade; nascimentos; mapa FIERGS","2014-2025 no núcleo","sim; recomputável para 10 regiões","sim; 497 municípios","DERIVÁVEL","somar idades 0-3/4-5; juntar município-ano; manter numerador e denominador","sem projeção municipal canônica; matrícula localizada não identifica residência","construir após pequena materialização","Todos os insumos do contraste histórico estão presentes e compatíveis por código IBGE"
"Ensino fundamental e trajetória","aprovação; reprovação; abandono; TDI; IDEB/SAEB; rede e etapa","população 6-10 e 11-14; mapa FIERGS","rendimento 2018-2025; TDI 2019-2025; IDEB 2005-2025","sim","sim; 497 municípios","PRONTA","somente agregação ponderada e recomputação regional","transição está limitada a 2021-2022","construir agora","O núcleo de trajetória anual e comparação municipal está materializado"
"Ensino médio, demografia e permanência","matrícula 15-17/ensino médio; aprovação; reprovação; abandono; TDI; IDEB","população 15-17; RAIS e CAGED juvenis","2014-2025; CAGED até jun/2026","sim","sim; 497 municípios","DERIVÁVEL","juntar painéis por município-ano e separar residente, escola e trabalho localizado","sem trajetória individual; CAGED juvenil ainda requer cubo por idade/tipo","construir após pequena materialização","Há evidência suficiente para associação territorial, mas não para causalidade ou seguimento individual"
"EJA e público potencial","matrículas EJA; rede; etapa; integração EPT; escolas/turmas","adultos sem EF/EM concluído nos censos","2010/2022 para potencial; 2014-2025 para matrícula","sim","sim; 497 municípios","DERIVÁVEL","calcular estoque sem conclusão e razão com matrícula em 2022","turno cobre só 3 municípios; potencial não é demanda; sem atualização anual","construir após pequena materialização","A leitura 2022 é reproduzível e deve ser rotulada como contraste de lentes"
"Educação profissional e ocupações","matrículas EPT por modalidade/rede; cursos/eixos em recorte piloto","RAIS/CAGED por CBO/CNAE; cenários e ponte curricular","EPT 2013-2025; trabalho 2006-2026; cursos 2025","parcial; cursos cobrem parte do Vale do Rio Pardo","sim para EPT/emprego; cursos em 10 municípios","PARCIAL","normalizar curso-eixo-CBO e limitar o universo aos municípios cobertos","sem ingressantes/concluintes EPT; ponte esparsa; cursos incompletos","construir após pequena materialização","É possível um piloto explicitamente limitado; não uma leitura regional completa"
"Trabalho juvenil e permanência","matrícula/fluxo/TDI do ensino médio","RAIS 15-17 e 18-24; CAGED com idade, movimento, aprendiz, CBO e CNAE","educação 2018-2025; RAIS 2019-2025; CAGED 2020-jun/2026","sim","sim; 497 municípios na RAIS","DERIVÁVEL","materializar CAGED juvenil mensal e juntar ecologicamente por município/período","sem residência do trabalhador; primeiro emprego requer validação semântica","construir após pequena materialização","RAIS juvenil já está pronta e o CAGED bruto necessário está presente localmente"
"Mobilidade regional","matrículas localizadas; transporte escolar/PNATE","migração intercensitária por idade","2010/2022; transporte 2023-2025 no recorte piloto","parcial","parcial","PARCIAL","nenhum cálculo substitui matriz origem-destino","faltam residência-escola, residência-trabalho e município anterior","pesquisar nova fonte","Os dados atuais permitem contexto migratório, mas não fluxos territoriais de estudo ou trabalho"
"Reorganização da rede","escolas; matrículas; turmas; docentes; jornada; rede; etapa","população por idade; coortes; mapa FIERGS","2014-2025","sim","sim; 497 municípios","DERIVÁVEL","projetar somente pressão observada/coortes e decompor por município/rede","sem projeção municipal oficial e sem deslocamento de estudantes","construir após pequena materialização","Suporta diagnóstico de mudança passada e pressão próxima, não previsão municipal completa"
"Condições escolares e resultados","infraestrutura; conectividade; HAD; ATU; AFD; IED; IRD; INSE; trajetória; SAEB/IDEB","mapa FIERGS; contexto demográfico e socioeconômico","principalmente 2019-2025","sim","sim; até 497 municípios","DERIVÁVEL","criar painel compatível por ano/rede/etapa e máscaras de cobertura","INSE cobre 495 municípios; universos e periodicidades diferem","construir após pequena materialização","As variáveis existem; a etapa restante é uma junção auditável sem alegação causal"
"Futuro demográfico","matrículas por etapa/idade e rede","população por idade; nascimentos; coortes; projeção IBGE apenas UF; migração 2010/2022","observado até 2025; projeção UF 2000-2070","sim para tendência e cenário UF","sim para tendência/coorte; não para projeção","PARCIAL","seguir coortes já nascidas e apresentar cenários somente na escala suportada","não há projeção/cenário demográfico municipal canônico","construir após pequena materialização","O piloto pode mostrar tendência e coortes, desde que não rotule isso como projeção municipal"
"Futuro do trabalho e qualificação","EPT por modalidade/rede; cursos/eixos parciais","RAIS/CAGED por setor/ocupação; cenários regionais; ponte curricular","trabalho até 2025/2026; cenários base 2026 horizonte 2031","cenários em 2 de 10 regiões","emprego municipal; cursos/cenários municipais incompletos","PARCIAL","calcular tendências observadas e usar cenários qualitativos apenas onde cobertos","sem reposição robusta; cursos incompletos; sem cenários municipais","construir após pequena materialização","Há base forte para trabalho observado e um piloto em regiões cobertas, mas não para generalização estadual"
